trip_id,optimized_route,optimized_duration_min
78,Concu Jubilee Hills → Joyalukkas → Ratnadeep Supermarket → Hyderabad Central → Reliance Smart Jubilee → Karachi Bakery → Page 3 Luxury Salon,10242.48
79,GRT Jewellers → Chutneys Restaurant → Crossword Bookstore → Nature's Basket → Spencer's Retail → Malabar Gold & Diamonds,222.94
80,Karachi Bakery → Paradise Biryani Secunderabad → Apollo Pharmacy → D-Mart Begumpet,129.93
81,Apollo Pharmacy → Croma Jubilee Hills → Naturals Salon → Chennai Shopping Mall → Page 3 Luxury Salon,10085.22
82,GRT Jewellers → Chutneys Restaurant → Crossword Bookstore → Nature's Basket → Spencer's Retail → Malabar Gold & Diamonds,222.94
83,GRT Jewellers → Chutneys Restaurant → Crossword Bookstore → Nature's Basket → Spencer's Retail → Malabar Gold & Diamonds,222.94
84,Roastery Coffee House → Hyderabad Central → Q-Mart Gachibowli,100.4
85,GRT Jewellers → Chutneys Restaurant → Crossword Bookstore → Spencer's Retail → Malabar Gold & Diamonds,186.76
86,Lakme Salon → Q-Mart Gachibowli → Himalaya Book World → Decathlon Madhapur → Adidas Originals → Shah Ghouse Gachibowli → Heritage Fresh,271.77
87,Karachi Bakery → Apollo Pharmacy → D-Mart Begumpet,112.38
88,GRT Jewellers → Chutneys Restaurant → Crossword Bookstore → Spencer's Retail → Malabar Gold & Diamonds,186.76
89,Concu Jubilee Hills → Joyalukkas → Ratnadeep Supermarket → Hyderabad Central → Reliance Smart Jubilee → Karachi Bakery,243.48
90,GRT Jewellers → Chutneys Restaurant → Crossword Bookstore → Spencer's Retail → Malabar Gold & Diamonds,186.76
91,Concu Jubilee Hills → Joyalukkas → Ratnadeep Supermarket → Hyderabad Central → Reliance Smart Jubilee → Karachi Bakery,243.48
92,GRT Jewellers → Chutneys Restaurant → Crossword Bookstore → Spencer's Retail → Malabar Gold & Diamonds,186.76
93,Lakme Salon → Q-Mart Gachibowli → Himalaya Book World → Decathlon Madhapur → Adidas Originals → Shah Ghouse Gachibowli → Heritage Fresh,271.77
94,Apollo Pharmacy → Croma Jubilee Hills → Naturals Salon → Page 3 Luxury Salon,10059.45
95,Concu Jubilee Hills → Joyalukkas → Ratnadeep Supermarket → Hyderabad Central → Reliance Smart Jubilee → Karachi Bakery,243.48
96,Lakme Salon → Q-Mart Gachibowli → Himalaya Book World → Decathlon Madhapur → Adidas Originals → Shah Ghouse Gachibowli → Heritage Fresh,271.77
97,GRT Jewellers → Crossword Bookstore → Spencer's Retail → Malabar Gold & Diamonds,168.39
98,Green Trends → Alankrita Boutique → Hyderabad Central → Bajaj Electronics → Reliance Digital → IKEA Hyderabad → Mebaz Banjara Hills,341.69
99,GRT Jewellers → Crossword Bookstore → Spencer's Retail → Malabar Gold & Diamonds,168.39
100,Apollo Pharmacy → Croma Jubilee Hills → Page 3 Luxury Salon,10026.15
101,Concu Jubilee Hills → Joyalukkas → Ratnadeep Supermarket → Reliance Smart Jubilee → Karachi Bakery,181.0
102,GRT Jewellers → Crossword Bookstore → Spencer's Retail → Malabar Gold & Diamonds,168.39
103,Green Trends → Alankrita Boutique → Hyderabad Central → Bajaj Electronics → Reliance Digital → IKEA Hyderabad → Mebaz Banjara Hills,341.69
104,Apollo Pharmacy → Croma Jubilee Hills → Page 3 Luxury Salon,10026.15
105,Lakme Salon → Q-Mart Gachibowli → Himalaya Book World → Decathlon Madhapur → Adidas Originals → Heritage Fresh,253.39
106,Concu Jubilee Hills → Joyalukkas → Ratnadeep Supermarket → Reliance Smart Jubilee → Karachi Bakery,181.0
107,Apollo Pharmacy → Croma Jubilee Hills → Page 3 Luxury Salon,10026.15
108,Concu Jubilee Hills → Joyalukkas → Ratnadeep Supermarket → Reliance Smart Jubilee → Karachi Bakery,181.0
109,Green Trends → Hyderabad Central → Bajaj Electronics → Reliance Digital → IKEA Hyderabad → Mebaz Banjara Hills,296.73
110,Naturals Salon → Heritage Fresh → Bata Shoe Store → Fabindia Gachibowli → MedPlus Madhapur → Apollo Pharmacy → Page 3 Luxury Salon,10181.98
111,Naturals Salon → Heritage Fresh → Bata Shoe Store → Fabindia Gachibowli → MedPlus Madhapur → Apollo Pharmacy → Page 3 Luxury Salon,10181.98
112,Naturals Salon → Heritage Fresh → Bata Shoe Store → Fabindia Gachibowli → MedPlus Madhapur → Apollo Pharmacy → Page 3 Luxury Salon,10181.98
113,Green Trends → Hyderabad Central → Bajaj Electronics → Reliance Digital → IKEA Hyderabad → Mebaz Banjara Hills,296.73
114,GRT Jewellers → Crossword Bookstore → Malabar Gold & Diamonds,141.12
115,Naturals Salon → Heritage Fresh → Bata Shoe Store → Fabindia Gachibowli → MedPlus Madhapur → Apollo Pharmacy → Page 3 Luxury Salon,10181.98
116,Lakme Salon → Q-Mart Gachibowli → Himalaya Book World → Adidas Originals → Heritage Fresh,236.37
117,Concu Jubilee Hills → Joyalukkas → Reliance Smart Jubilee → Karachi Bakery,142.81
118,GRT Jewellers → Crossword Bookstore → Malabar Gold & Diamonds,141.12
119,Lakme Salon → Q-Mart Gachibowli → Himalaya Book World → Adidas Originals → Heritage Fresh,236.37
120,Green Trends → Hyderabad Central → Bajaj Electronics → Reliance Digital → IKEA Hyderabad → Mebaz Banjara Hills,296.73
121,Mebaz Banjara Hills → GRT Jewellers → Metro Cash & Carry → Croma Jubilee Hills → Khazana Jewellers → Puma Store → Kimmee's Salon,10218.62
122,Naturals Salon → Heritage Fresh → Bata Shoe Store → Fabindia Gachibowli → Apollo Pharmacy → Page 3 Luxury Salon,10177.15
123,Mebaz Banjara Hills → GRT Jewellers → Metro Cash & Carry → Croma Jubilee Hills → Khazana Jewellers → Puma Store → Kimmee's Salon,10218.62
124,Lakme Salon → Q-Mart Gachibowli → Himalaya Book World → Heritage Fresh,169.79
125,Green Trends → Hyderabad Central → Mebaz Banjara Hills → Reliance Digital → IKEA Hyderabad,228.69
126,Mebaz Banjara Hills → GRT Jewellers → Metro Cash & Carry → Croma Jubilee Hills → Khazana Jewellers → Puma Store → Kimmee's Salon,10218.62
127,Naturals Salon → Heritage Fresh → Bata Shoe Store → Fabindia Gachibowli → Apollo Pharmacy → Page 3 Luxury Salon,10177.15
128,Green Trends → Hyderabad Central → Mebaz Banjara Hills → Reliance Digital → IKEA Hyderabad,228.69
129,Mebaz Banjara Hills → GRT Jewellers → Metro Cash & Carry → Croma Jubilee Hills → Khazana Jewellers → Puma Store → Kimmee's Salon,10218.62
130,Green Trends → Hyderabad Central → Mebaz Banjara Hills → Reliance Digital → IKEA Hyderabad,228.69
131,Lakme Salon → Q-Mart Gachibowli → Himalaya Book World → Heritage Fresh,169.79
132,Naturals Salon → Heritage Fresh → Bata Shoe Store → Fabindia Gachibowli → Apollo Pharmacy → Page 3 Luxury Salon,10177.15
133,Mebaz Banjara Hills → GRT Jewellers → Metro Cash & Carry → Croma Jubilee Hills → Puma Store → Kimmee's Salon,10192.18
134,Lakme Salon → Heritage Fresh → Himalaya Book World,148.64
135,Green Trends → Mebaz Banjara Hills → Reliance Digital → IKEA Hyderabad,196.17
136,Lakme Salon → Heritage Fresh → Himalaya Book World,148.64
137,Green Trends → Mebaz Banjara Hills → Reliance Digital → IKEA Hyderabad,196.17
138,Lakme Salon → Heritage Fresh → Himalaya Book World,148.64
139,Naturals Salon → Heritage Fresh → Fabindia Gachibowli → Apollo Pharmacy → Page 3 Luxury Salon,10163.97
140,Naturals Salon → Heritage Fresh → Fabindia Gachibowli → Apollo Pharmacy → Page 3 Luxury Salon,10163.97
141,Lakme Salon → Heritage Fresh → Himalaya Book World,148.64
142,Mebaz Banjara Hills → GRT Jewellers → Metro Cash & Carry → Croma Jubilee Hills → Puma Store → Kimmee's Salon,10192.18
143,Naturals Salon → Heritage Fresh → Fabindia Gachibowli → Apollo Pharmacy → Page 3 Luxury Salon,10163.97
144,Mebaz Banjara Hills → GRT Jewellers → Metro Cash & Carry → Croma Jubilee Hills → Puma Store → Kimmee's Salon,10192.18
145,Kimmee's Salon → Crossword Bookstore → Forum Sujana Zara → Reliance Digital → Pista House → Nature's Basket,204.15
146,South India Shopping Mall → Alankrita Boutique → Hyderabad Central → Q-Mart Gachibowli → Lalitha Jewellery → Pista House → IKEA Hyderabad,279.39
147,Kimmee's Salon → Crossword Bookstore → Forum Sujana Zara → Reliance Digital → Pista House → Nature's Basket,204.15
148,Green Trends → Mebaz Banjara Hills → Reliance Digital,135.8
149,Kimmee's Salon → Crossword Bookstore → Forum Sujana Zara → Reliance Digital → Pista House → Nature's Basket,204.15
150,Kimmee's Salon → Crossword Bookstore → Forum Sujana Zara → Reliance Digital → Pista House → Nature's Basket,204.15
151,Mebaz Banjara Hills → GRT Jewellers → Croma Jubilee Hills → Puma Store → Kimmee's Salon,10149.84
152,South India Shopping Mall → Alankrita Boutique → Hyderabad Central → Q-Mart Gachibowli → Lalitha Jewellery → Pista House → IKEA Hyderabad,279.39
153,Green Trends → Mebaz Banjara Hills → Reliance Digital,135.8
154,South India Shopping Mall → Alankrita Boutique → Hyderabad Central → Q-Mart Gachibowli → Lalitha Jewellery → Pista House → IKEA Hyderabad,279.39
155,Green Trends → Mebaz Banjara Hills → Reliance Digital,135.8
156,South India Shopping Mall → Alankrita Boutique → Hyderabad Central → Q-Mart Gachibowli → Lalitha Jewellery → Pista House → IKEA Hyderabad,279.39
157,Kimmee's Salon → Crossword Bookstore → Nature's Basket → Reliance Digital → Pista House,164.72
158,Mebaz Banjara Hills → GRT Jewellers → Puma Store → Kimmee's Salon,10106.76
159,South India Shopping Mall → Alankrita Boutique → Hyderabad Central → Lalitha Jewellery → Pista House → IKEA Hyderabad,240.32
160,South India Shopping Mall → Alankrita Boutique → Hyderabad Central → Lalitha Jewellery → Pista House → IKEA Hyderabad,240.32
161,South India Shopping Mall → Alankrita Boutique → Hyderabad Central → Lalitha Jewellery → Pista House → IKEA Hyderabad,240.32
162,South India Shopping Mall → Alankrita Boutique → Hyderabad Central → Lalitha Jewellery → Pista House → IKEA Hyderabad,240.32
163,Naturals Salon → Heritage Fresh → Page 3 Luxury Salon,10042.35
164,Kimmee's Salon → Crossword Bookstore → Nature's Basket → Reliance Digital → Pista House,164.72
165,South India Shopping Mall → Alankrita Boutique → Hyderabad Central → Lalitha Jewellery → Pista House → IKEA Hyderabad,240.32
166,Reliance Smart Jubilee → Jos Alukkas → Forum Sujana Zara → Apollo Health City → Kalanikethan Kukatpally → Metro Shoes → Darpan Furnishings,232.77
167,Mebaz Banjara Hills → GRT Jewellers → Puma Store → Kimmee's Salon,10106.76
168,Naturals Salon → Heritage Fresh → Page 3 Luxury Salon,10042.35
169,Mebaz Banjara Hills → GRT Jewellers → Kimmee's Salon,10039.18
170,Mebaz Banjara Hills → GRT Jewellers → Kimmee's Salon,10039.18
171,Mebaz Banjara Hills → GRT Jewellers → Kimmee's Salon,10039.18
172,Reliance Smart Jubilee → Jos Alukkas → Forum Sujana Zara → Apollo Health City → Kalanikethan Kukatpally → Darpan Furnishings,226.67
173,Reliance Smart Jubilee → Jos Alukkas → Forum Sujana Zara → Apollo Health City → Kalanikethan Kukatpally → Darpan Furnishings,226.67
174,Kimmee's Salon → Crossword Bookstore → Nature's Basket → Pista House,135.63
175,Kimmee's Salon → Crossword Bookstore → Nature's Basket → Pista House,135.63
176,Darpan Furnishings → Karachi Bakery → Reliance Digital → Chennai Shopping Mall → Heritage Fresh → Puma Store → Kalanikethan Kukatpally,248.04
177,Mebaz Banjara Hills → GRT Jewellers → Kimmee's Salon,10039.18
178,Reliance Smart Jubilee → Jos Alukkas → Forum Sujana Zara → Apollo Health City → Kalanikethan Kukatpally → Darpan Furnishings,226.67
179,South India Shopping Mall → Alankrita Boutique → Hyderabad Central → Lalitha Jewellery → Pista House,198.89
180,Darpan Furnishings → Karachi Bakery → Reliance Digital → Chennai Shopping Mall → Heritage Fresh → Puma Store → Kalanikethan Kukatpally,248.04
181,South India Shopping Mall → Alankrita Boutique → Hyderabad Central → Lalitha Jewellery,155.86
182,Reliance Smart Jubilee → Jos Alukkas → Apollo Health City → Kalanikethan Kukatpally → Darpan Furnishings,212.15
183,Kimmee's Salon → Crossword Bookstore → Pista House,100.48
184,South India Shopping Mall → Alankrita Boutique → Hyderabad Central → Lalitha Jewellery,155.86
185,Cafe Niloufer → Adidas Originals → MedPlus Madhapur → Q-Mart Gachibowli → Jos Alukkas → Forum Sujana Zara → Kimmee's Salon,10214.1
186,Reliance Smart Jubilee → Jos Alukkas → Apollo Health City → Kalanikethan Kukatpally → Darpan Furnishings,212.15
187,Kimmee's Salon → Crossword Bookstore → Pista House,100.48
188,Kimmee's Salon → Crossword Bookstore → Pista House,100.48
189,Reliance Smart Jubilee → Jos Alukkas → Apollo Health City → Kalanikethan Kukatpally → Darpan Furnishings,212.15
190,Cafe Niloufer → Adidas Originals → MedPlus Madhapur → Q-Mart Gachibowli → Jos Alukkas → Forum Sujana Zara → Kimmee's Salon,10214.1
191,Cafe Niloufer → Adidas Originals → MedPlus Madhapur → Q-Mart Gachibowli → Jos Alukkas → Forum Sujana Zara → Kimmee's Salon,10214.1
192,Kimmee's Salon → Crossword Bookstore → Pista House,100.48
193,Darpan Furnishings → Reliance Digital → Heritage Fresh → Puma Store → Kalanikethan Kukatpally,204.27
194,South India Shopping Mall → Alankrita Boutique → Lalitha Jewellery,111.13
195,Cafe Niloufer → Adidas Originals → MedPlus Madhapur → Q-Mart Gachibowli → Jos Alukkas → Forum Sujana Zara,215.1
196,Shah Ghouse Gachibowli → South India Shopping Mall → Spencer's Retail → Joyalukkas → Adidas Originals → IKEA Hyderabad → Bawarchi RTC X Roads,330.82
197,Darpan Furnishings → Reliance Digital → Heritage Fresh → Puma Store → Kalanikethan Kukatpally,204.27
198,Cafe Niloufer → Adidas Originals → MedPlus Madhapur → Q-Mart Gachibowli → Jos Alukkas → Forum Sujana Zara,215.1
199,Reliance Smart Jubilee → Jos Alukkas → Darpan Furnishings → Kalanikethan Kukatpally,177.25
200,Shah Ghouse Gachibowli → South India Shopping Mall → Spencer's Retail → Joyalukkas → Adidas Originals → IKEA Hyderabad → Bawarchi RTC X Roads,330.82
201,South India Shopping Mall → Alankrita Boutique → Lalitha Jewellery,111.13
202,Darpan Furnishings → Reliance Digital → Heritage Fresh → Puma Store → Kalanikethan Kukatpally,204.27
203,Cafe Niloufer → Adidas Originals → MedPlus Madhapur → Q-Mart Gachibowli → Jos Alukkas → Forum Sujana Zara,215.1
204,South India Shopping Mall → Alankrita Boutique → Lalitha Jewellery,111.13
205,Himalaya Book World → Lalitha Jewellery → Sarath City Capital H&M → Chennai Shopping Mall → Chutneys Restaurant → Cafe Niloufer → Page 3 Luxury Salon,10226.47
206,Darpan Furnishings → Reliance Digital → Kalanikethan Kukatpally → Puma Store,148.1
207,Darpan Furnishings → Reliance Digital → Kalanikethan Kukatpally → Puma Store,148.1
208,Reliance Smart Jubilee → Darpan Furnishings → Kalanikethan Kukatpally,142.28
209,Himalaya Book World → Lalitha Jewellery → Sarath City Capital H&M → Chennai Shopping Mall → Chutneys Restaurant → Cafe Niloufer → Page 3 Luxury Salon,10226.47
210,Darpan Furnishings → Reliance Digital → Kalanikethan Kukatpally → Puma Store,148.1
211,Cafe Niloufer → MedPlus Madhapur → Q-Mart Gachibowli → Jos Alukkas → Forum Sujana Zara,197.88
212,Himalaya Book World → Lalitha Jewellery → Sarath City Capital H&M → Chennai Shopping Mall → Chutneys Restaurant → Cafe Niloufer → Page 3 Luxury Salon,10226.47
213,Cafe Niloufer → MedPlus Madhapur → Q-Mart Gachibowli → Jos Alukkas → Forum Sujana Zara,197.88
214,Darpan Furnishings → Reliance Digital → Kalanikethan Kukatpally → Puma Store,148.1
215,Darpan Furnishings → Reliance Digital → Kalanikethan Kukatpally → Puma Store,148.1
216,Reliance Smart Jubilee → Darpan Furnishings → Kalanikethan Kukatpally,142.28
217,Cafe Niloufer → MedPlus Madhapur → Jos Alukkas → Forum Sujana Zara,164.81
218,Cafe Niloufer → MedPlus Madhapur → Jos Alukkas → Forum Sujana Zara,164.81
219,Chennai Shopping Mall → Forum Sujana Zara → Shah Ghouse Gachibowli → Green Trends → Nature's Basket → Sarath City Capital H&M → Paradise Biryani Secunderabad,281.31
220,Darpan Furnishings → Kalanikethan Kukatpally → Puma Store,96.08
221,Himalaya Book World → Lalitha Jewellery → Sarath City Capital H&M → Chutneys Restaurant → Cafe Niloufer → Page 3 Luxury Salon,10197.32
222,Chennai Shopping Mall → Forum Sujana Zara → Shah Ghouse Gachibowli → Green Trends → Nature's Basket → Sarath City Capital H&M → Paradise Biryani Secunderabad,281.31
223,Darpan Furnishings → Kalanikethan Kukatpally → Puma Store,96.08
224,Chennai Shopping Mall → Forum Sujana Zara → Shah Ghouse Gachibowli → Green Trends → Nature's Basket → Sarath City Capital H&M → Paradise Biryani Secunderabad,281.31
225,Shah Ghouse Gachibowli → Spencer's Retail → Adidas Originals → IKEA Hyderabad → Bawarchi RTC X Roads,291.49
226,Darpan Furnishings → Kalanikethan Kukatpally → Puma Store,96.08
227,Chennai Shopping Mall → Forum Sujana Zara → Shah Ghouse Gachibowli → Green Trends → Nature's Basket → Sarath City Capital H&M → Paradise Biryani Secunderabad,281.31
228,Cafe Niloufer → MedPlus Madhapur → Jos Alukkas → Forum Sujana Zara,164.81
229,Cafe Niloufer → MedPlus Madhapur → Jos Alukkas,127.66
230,Shah Ghouse Gachibowli → Spencer's Retail → Adidas Originals → IKEA Hyderabad,182.02
231,Cafe Niloufer → MedPlus Madhapur → Jos Alukkas,127.66
232,Himalaya Book World → Lalitha Jewellery → Sarath City Capital H&M → Chutneys Restaurant → Cafe Niloufer,198.32
233,Chennai Shopping Mall → Forum Sujana Zara → Shah Ghouse Gachibowli → Green Trends → Nature's Basket → Sarath City Capital H&M,238.38
234,Cafe Niloufer → MedPlus Madhapur → Jos Alukkas,127.66
235,Chennai Shopping Mall → Forum Sujana Zara → Shah Ghouse Gachibowli → Green Trends → Nature's Basket → Sarath City Capital H&M,238.38
236,Cafe Niloufer → MedPlus Madhapur → Jos Alukkas,127.66
237,Shah Ghouse Gachibowli → Spencer's Retail → Adidas Originals → IKEA Hyderabad,182.02
238,Inorbit Mall Shoppers Stop → Joyalukkas → Metro Cash & Carry → Ghanshyam Supermarket → GVK One Lifestyle → Heritage Fresh → Page 3 Luxury Salon,10224.23
239,Inorbit Mall Shoppers Stop → Joyalukkas → Metro Cash & Carry → Ghanshyam Supermarket → GVK One Lifestyle → Heritage Fresh → Page 3 Luxury Salon,10224.23
240,Shah Ghouse Gachibowli → Spencer's Retail → Adidas Originals → IKEA Hyderabad,182.02
241,Himalaya Book World → Lalitha Jewellery → Sarath City Capital H&M → Cafe Niloufer,124.95
242,Apollo Health City → Bata Shoe Store → Puma Store → Metro Shoes → Q-Mart Gachibowli → Bajaj Electronics → GVK One Lifestyle,255.45
